Nº,Fecha y Hora de Registro,Velocidad (Km/h),Latitud,Longitud,FechaHora,Dia,delta_t_s,delta_v,delta_lat,delta_lon,Vel_Pred_kmh
30,2025-12-19 06:06:06,39.0,-0.3467427777777778,-78.45942222222222,2025-12-19 06:06:06,2025-12-19,0.6931471805599453,-6.333333333333332,0.001,0.001,34.38514494895935
28,2025-12-19 06:06:35,7.0,-0.3330072222222222,-78.43541333333333,2025-12-19 06:06:35,2025-12-19,3.4011973816621555,1.0,0.001,0.001,12.770726203918457
16,2025-12-19 06:06:37,16.0,-0.3777972222222222,-78.50294222222222,2025-12-19 06:06:37,2025-12-19,1.0986122886681098,-8.666666666666668,-0.001,-0.001,12.297417879104614
23,2025-12-19 06:06:43,13.0,-0.3837672222222222,-78.50732444444445,2025-12-19 06:06:43,2025-12-19,1.9459101490553128,5.666666666666668,-0.001,-0.001,14.570415496826172
12,2025-12-19 06:06:45,24.0,-0.3327483333333333,-78.43503111111112,2025-12-19 06:06:45,2025-12-19,1.0986122886681098,-5.333333333333334,0.001,0.001,28.31741237640381
7,2025-12-19 06:07:01,0.0,-0.3993044444444444,-78.53203555555555,2025-12-19 06:07:01,2025-12-19,2.833213344056216,3.666666666666666,-0.001,-0.001,4.369525909423828
26,2025-12-19 06:07:10,24.0,-0.3327766666666666,-78.43451555555555,2025-12-19 06:07:10,2025-12-19,2.302585092994046,-1.333333333333334,0.001,0.001,23.532684087753296
5,2025-12-19 06:07:41,20.0,-0.3443294444444444,-78.45484444444445,2025-12-19 06:07:41,2025-12-19,3.4657359027997265,9.666666666666666,-0.001,-0.001,26.361563205718994
14,2025-12-19 06:07:45,29.0,-0.368025,-78.47709333333333,2025-12-19 06:07:45,2025-12-19,1.6094379124341005,1.3333333333333357,-0.001,-0.001,30.76978588104248
16,2025-12-19 06:08:18,28.0,-0.3784016666666667,-78.50474666666666,2025-12-19 06:08:18,2025-12-19,3.5263605246161616,0.3333333333333321,-0.001,-0.001,29.727170944213867
19,2025-12-19 06:08:52,21.0,-0.3414444444444444,-78.44947555555555,2025-12-19 06:08:52,2025-12-19,3.555348061489413,-0.3333333333333321,0.001,0.001,16.46700417995453
7,2025-12-19 06:08:58,28.0,-0.3774194444444444,-78.50643555555556,2025-12-19 06:08:58,2025-12-19,1.9459101490553128,-4.666666666666668,-0.001,-0.001,25.623072862625122
19,2025-12-19 06:08:58,14.0,-0.3341116666666666,-78.44156444444444,2025-12-19 06:08:58,2025-12-19,0.0,10.0,0.001,0.001,13.671642184257507
17,2025-12-19 06:09:00,51.0,-0.3297066666666666,-78.43631111111111,2025-12-19 06:09:00,2025-12-19,1.0986122886681098,-4.333333333333332,0.001,0.001,48.71960735321045
23,2025-12-19 06:09:10,15.0,-0.3849077777777778,-78.52072,2025-12-19 06:09:10,2025-12-19,2.3978952727983707,6.333333333333332,-0.001,-0.001,23.0034077167511
24,2025-12-19 06:09:23,33.0,-0.334125,-78.44004444444444,2025-12-19 06:09:23,2025-12-19,2.6390573296152584,-9.666666666666668,0.001,0.001,22.217008352279663
14,2025-12-19 06:10:26,22.0,-0.3381127777777777,-78.4448,2025-12-19 06:10:26,2025-12-19,4.158883083359672,5.666666666666668,-0.001,-0.001,25.819029331207275
8,2025-12-19 06:10:30,32.0,-0.3942655555555555,-78.52841777777778,2025-12-19 06:10:30,2025-12-19,1.6094379124341005,-3.0,-0.001,-0.001,29.192336916923523
8,2025-12-19 06:10:42,24.0,-0.40424,-78.53954666666667,2025-12-19 06:10:42,2025-12-19,2.5649493574615367,15.333333333333336,-0.001,-0.001,19.349464416503906
29,2025-12-19 06:11:00,68.0,-0.3196311111111111,-78.44235555555555,2025-12-19 06:11:00,2025-12-19,2.9444389791664403,-1.6666666666666714,0.001,0.001,64.04380428791046
21,2025-12-19 06:11:26,27.0,-0.3868722222222222,-78.51494222222222,2025-12-19 06:11:26,2025-12-19,3.295836866004329,6.0,-0.001,-0.001,32.27560472488403
9,2025-12-19 06:12:22,42.0,-0.4065366666666666,-78.54665777777778,2025-12-19 06:12:22,2025-12-19,4.04305126783455,-9.333333333333329,-0.001,-0.001,27.81912338733673
16,2025-12-19 06:12:26,40.0,-0.3446627777777777,-78.45553777777778,2025-12-19 06:12:26,2025-12-19,1.6094379124341005,-6.333333333333336,0.001,0.001,35.53143799304962
6,2025-12-19 06:12:32,8.0,-0.3695766666666666,-78.47951111111111,2025-12-19 06:12:32,2025-12-19,1.9459101490553128,4.666666666666664,-0.001,-0.001,4.838691234588623
18,2025-12-19 06:12:42,56.0,-0.4008833333333333,-78.53315555555555,2025-12-19 06:12:42,2025-12-19,2.3978952727983707,-6.9999999999999964,-0.001,-0.001,52.08827531337738
18,2025-12-19 06:12:56,19.0,-0.3442361111111111,-78.45473777777778,2025-12-19 06:12:56,2025-12-19,2.70805020110221,1.6666666666666643,0.001,0.001,21.610855102539062
15,2025-12-19 06:13:10,13.0,-0.3075455555555555,-78.4476,2025-12-19 06:13:10,2025-12-19,2.70805020110221,-2.333333333333332,0.001,0.001,5.099381685256958
