"Fecha y Hora del Equipo","Fecha y Hora de Registro","Velocidad (Km/h)","Latitud","Longitud"
"2025-11-27 11:59:24","2025-11-27 11:59:25","47.00","-0.3042238888888889","-78.45268444444444"
"2025-11-27 11:59:29","2025-11-27 11:59:30","42.00","-0.3039311111111111","-78.45318222222222"
"2025-11-27 11:59:34","2025-11-27 11:59:35","37.00","-0.30367833333333333","-78.45363555555555"
"2025-11-27 11:59:39","2025-11-27 11:59:41","31.00","-0.30345333333333335","-78.45403555555555"
"2025-11-27 11:59:54","2025-11-27 11:59:56","18.00","-0.3033138888888889","-78.45434666666667"
"2025-11-27 11:59:59","2025-11-27 12:00:01","40.00","-0.3031238888888889","-78.45468444444444"
"2025-11-27 12:00:04","2025-11-27 12:00:06","32.00","-0.3028883333333333","-78.45510222222222"
"2025-11-27 12:00:09","2025-11-27 12:00:10","21.00","-0.30270166666666665","-78.45540444444444"
"2025-11-27 12:00:34","2025-11-27 12:00:35","13.00","-0.302565","-78.45561777777777"
"2025-11-27 12:00:39","2025-11-27 12:00:40","16.00","-0.3024427777777778","-78.45580444444444"
"2025-11-27 12:00:57","2025-11-27 12:00:59","0","-0.30235555555555554","-78.45592888888889"
"2025-11-27 12:01:13","2025-11-27 12:01:14","13.00","-0.30232055555555554","-78.45608"
"2025-11-27 12:01:14","2025-11-27 12:01:15","15.00","-0.3023","-78.45610666666667"
"2025-11-27 12:01:19","2025-11-27 12:01:20","28.00","-0.30212666666666665","-78.45635555555556"
"2025-11-27 12:01:24","2025-11-27 12:01:25","17.00","-0.3019627777777778","-78.4565688888889"
"2025-11-27 12:01:44","2025-11-27 12:01:46","8.00","-0.30181555555555556","-78.45679111111112"
"2025-11-27 12:01:49","2025-11-27 12:01:51","15.00","-0.30174666666666666","-78.45687111111111"
"2025-11-27 12:01:54","2025-11-27 12:01:56","23.00","-0.30160555555555557","-78.45705777777778"
"2025-11-27 12:01:59","2025-11-27 12:02:01","34.00","-0.3013866666666667","-78.45734222222222"
"2025-11-27 12:02:04","2025-11-27 12:02:06","29.00","-0.301125","-78.45766222222223"
"2025-11-27 12:02:09","2025-11-27 12:02:10","27.00","-0.3008988888888889","-78.45793777777777"
"2025-11-27 12:02:14","2025-11-27 12:02:15","24.00","-0.30069222222222225","-78.45820444444445"
"2025-11-27 12:02:19","2025-11-27 12:02:20","23.00","-0.3004927777777778","-78.45845333333334"
"2025-11-27 12:02:24","2025-11-27 12:02:25","15.00","-0.3003511111111111","-78.45864"
"2025-11-27 12:02:42","2025-11-27 12:02:43","0","-0.30026833333333336","-78.45867555555556"
"2025-11-27 12:04:09","2025-11-27 12:04:11","8.00","-0.3001022222222222","-78.45873777777778"
"2025-11-27 12:04:14","2025-11-27 12:04:15","9.00","-0.3000216666666667","-78.45883555555555"
"2025-11-27 12:04:19","2025-11-27 12:04:21","10.00","-0.29996","-78.45890666666666"
"2025-11-27 12:04:24","2025-11-27 12:04:26","25.00","-0.2997938888888889","-78.45904888888889"
"2025-11-27 12:04:29","2025-11-27 12:04:30","29.00","-0.29948277777777776","-78.45926222222222"
"2025-11-27 12:04:34","2025-11-27 12:04:35","28.00","-0.29919444444444443","-78.45945777777777"
"2025-11-27 12:04:39","2025-11-27 12:04:40","27.00","-0.2989177777777778","-78.45969777777778"
"2025-11-27 12:04:44","2025-11-27 12:04:45","17.00","-0.29868944444444445","-78.45991111111111"
"2025-11-27 12:04:59","2025-11-27 12:05:00","9.00","-0.29861333333333334","-78.45998222222222"
"2025-11-27 12:05:04","2025-11-27 12:05:05","19.00","-0.2984266666666667","-78.46016"
"2025-11-27 12:05:19","2025-11-27 12:05:20","9.00","-0.29820444444444444","-78.4603288888889"
"2025-11-27 12:05:24","2025-11-27 12:05:25","25.00","-0.29804444444444445","-78.46045333333333"
"2025-11-27 12:05:29","2025-11-27 12:05:30","48.00","-0.2975977777777778","-78.46073777777778"
"2025-11-27 12:05:34","2025-11-27 12:05:35","37.00","-0.2971388888888889","-78.46111111111111"
"2025-11-27 12:05:39","2025-11-27 12:05:40","48.00","-0.29664444444444443","-78.46141333333334"
"2025-11-27 12:05:44","2025-11-27 12:05:45","26.00","-0.2961772222222222","-78.46158222222222"
"2025-11-27 12:05:49","2025-11-27 12:05:50","22.00","-0.29592666666666667","-78.46166222222222"
"2025-11-27 12:05:54","2025-11-27 12:05:56","34.00","-0.2956377777777778","-78.46181333333334"
"2025-11-27 12:05:59","2025-11-27 12:06:01","51.00","-0.29516555555555557","-78.46208"
"2025-11-27 12:06:04","2025-11-27 12:06:06","61.00","-0.29456944444444444","-78.46248888888888"
